geometry,구,lon,lat
POINT (127.4249308909091 36.33875621818181),동구,127.42493089090908,36.338756218181814
POINT (127.434851725 36.3475268),동구,127.434851725,36.3475268
POINT (127.4735978347493 36.37016528507445),동구,127.47359783474934,36.37016528507445
POINT (127.4408622452491 36.21872234977786),동구,127.44086224524912,36.218722349777856
POINT (127.4231763 36.3468546),동구,127.42317630000001,36.3468546
POINT (127.4510135 36.3209619),동구,127.4510135,36.3209619
POINT (127.4561203333333 36.3084836),동구,127.45612033333333,36.3084836
POINT (127.4435778666667 36.335606),동구,127.44357786666667,36.335606
POINT (127.4285026333333 36.3376336),동구,127.42850263333332,36.3376336
POINT (127.4634118 36.28942804),동구,127.4634118,36.28942804
POINT (127.4472985 36.33748945),동구,127.4472985,36.33748945
POINT (127.4733103281125 36.3165479349494),동구,127.47331032811253,36.316547934949405
